identifier,route,viewport,system_layer,classification,description,evidence_reference,measured_value,expected_rule,severity,recommendation,status
SPC-01,all primary app routes,390-1440,spacing,design-system-inconsistency,"Spacing is authored as raw values, not tokens: 91 distinct padding values in the 14 universal layers plus 95 more in globals.css (186 total), against an 8-step gap scale and 2 padding tokens that already exist. This is the root cause of rhythm drift the owner perceives.",scripts/css-analysis (distinct_padding_values: 91 universal + 95 globals); top raw paddings 12px/10px/14px/9px/11px,186 distinct padding values vs 10 spacing tokens defined,R-SPACE-1: all padding/margin/gap values resolve to the --mj-space scale (4/8/12/16/20/24/32/48); raw px spacing forbidden outside tokens,P0,Adopt the consolidated space scale (DESIGN-TOKENS.md); migrate dialect paddings onto it; add a lint guard (IMP-02).,"in-progress-phase-1 (begins per master doc 6: space scale adopted, legacy --mj-gap-* rebound to the 9-step scale, 398 exact-map declarations tokenized; raw padding distinct 155 -> 141, raw spacing distinct 243 -> 210; completion rides Phases 2-5 as surfaces are rebuilt)"
SPC-02,all primary app routes,390,spacing,design-system-inconsistency,"Inter-section rhythm varies ~3x across route families at 390px: domain workspaces median 14px, home 22px, ops pages 30.1px, usage/billing 41.1px. The same app breathes at three different tempos.",evidence/measurements aggregate.json -> secGapsMedian per route @390,section-gap medians: 14px (learn/research/create/code/analyze/explore) / 22px (home) / 30.1px (ops) / 41.1px (usage/billing),R-SPACE-2: one section rhythm token --mj-gap-block (24px at 390 -> 48px at 1440) between page sections on every route,P1,Bind each family's section spacing to the shared token; delete per-family block gaps.,confirmed
SPC-03,all primary app routes,390-1440,spacing,design-system-inconsistency,Intra-page rhythm is unstable: zero-gap adjacencies (gapMin=0 on every route) coexist with gaps up to 68px in the same page column.,evidence/measurements aggregate.json -> subSectionGaps gapMin/gapMax,gapMin=0 on all 19 routes; gapMax up to 68px (models) within a single page,R-SPACE-3: adjacent sections never touch; minimum inter-section gap = --mj-space-200 (24px at 390),P2,Audit zero-gap adjacencies per route; enforce the floor in the page template (PAGE-PATTERNS-AND-MOTION.md).,confirmed
TYP-01,all primary app routes,390-1440,typography,design-system-inconsistency,Two parallel type ramps coexist (--u-text-xs..xl in foundations vs --mj-text-hero..caption in layout) plus per-page clamps; at 390px the app renders 22 distinct computed font sizes; the CSS declares 23 distinct font-size values.,foundations.css:177-181 vs layout.css:41-54; css-analysis (23 declared sizes); aggregate fontSizeHistogram (22 computed sizes @390),"2 ramps + 22 live sizes at one viewport; dominant sizes 12px(x511), 15.36px(x227), 13.44px(x218)",R-TYPE-1: a single 11-level ramp (display..code) with one naming namespace; line-heights and Arabic rules bound to each level,P1,Consolidate to one ramp (DESIGN-TOKENS.md type table); alias --u-text-* to the ramp during migration; delete per-page clamps.,confirmed
TYP-02,"flows editor, run detail, learn checks, preview surfaces",390-1440,typography,confirmed-bug,"Sub-9px text renders in product surfaces: 7px (.flow-node__footer, .preview-activity li>span) and 8px (.run-timeline__rail span, .test-citations span, .flow-start-label, .preview-inspector__head). Below any readable threshold on mobile.","globals.css:386,393,418,435,876,935,940,993",font sizes 7px and 8px in mono labels | after Phase 1 (2026-09-22): 0 sub-10px declarations (evidence/baselines/phase1/g7-baseline.json),"R-TYPE-2: minimum text size 10px (mono technical labels 10px minimum, prefer 11px); nothing smaller ships",P2,Raise the 7/8px labels to 10-11px; add a min-font-size lint rule.,"resolved-in-phase-1 (Gate A: build/eslint/stylelint clean, hOverflow 0 x100, tapUnder44 unchanged; Gate B-3: sub-10px declarations 23 -> 0 measured by G-7 phase1 baseline; mono labels raised to --mj-text-code 12.5px or R-TYPE-2 floor 10/11px in fixed badges)"
TYP-03,all primary app routes,390-1440,typography,confirmed-bug,Arabic letter-spacing violations: .eyebrow / .page-eyebrow / .section-heading__eyebrow apply 0.08em tracking + uppercase to Arabic text; .mj-data-list__head and .mj-section__label apply 0.02em; .preview-hero h1 keeps -0.018em tracking in Arabic. Tracking tears Arabic's connected script; the zero-tracking law exists in design-system.md but is not enforced.,"globals.css:96,106,115,247; layout.css:168,338; law: docs/03-design/design-system.md section 3 (NFR-8.7)",tracking 0.08em/0.02em/-0.018em on Arabic-rendering classes without [lang=ar]/[dir=rtl] zero overrides | after Phase 1 (2026-09-22): 0 unpaired letter-spacing declarations (evidence/baselines/phase1/g7-baseline.json),R-RTL-1: letter-spacing: 0 on all Arabic text; tracking allowed only on Latin strings (html[lang=en] scope or .ltr-value),P2,Add [lang=ar] zero-tracking overrides for every tracking class; add lint rule scanning letter-spacing without an Arabic override.,"resolved-in-phase-1 (Gate A clean; Gate B-3: 37 tracking candidates -> 6 legal (2 [lang=en]-scoped ramp rules, 2 latin-only marketing rules, 2 rtl-paired) with 0 UNPAIRED measured by the upgraded G-7 per-selector pairing check; 30 unpaired trackings deleted)"
TYP-04,all primary app routes,390,typography,design-system-inconsistency,"The reading stack is small-size-heavy: the most frequent text size at 390px is 12px (511 instances), ahead of body 15.36px and 13.44px. Labels/captions dominate the visual field, contributing to the 'everything looks like different shades of the same thing' perception.",evidence/measurements aggregate.json -> fontSizeHistogram @390,12px x511 vs 15.36px x227 vs 13.44px x218 instances,"R-TYPE-3: body text = 15-16px; secondary 13-14px; captions/labels 12px reserved for metadata, not primary content",P2,Rebalance content strings to body sizes per the type ramp usage rules; audit routes where 12px carries content.,confirmed
VIS-01,marketing vs app,390-1440,visual consistency,design-system-inconsistency,"Two brand color systems: marketing Tailwind @theme palette (brand-cyan #06b6d4, brand-emerald #047857, brand-pink #ec4899...) vs app tokens (--u-cyan #0b8cab, --u-mint #0d9f70, --u-pink #e2579a). Same hue families, different values; brand continuity breaks at the marketing/product boundary.",foundations.css:33-58 (@theme) vs :root block; css-analysis (364 hardcoded hex in layers),marketing cyan #06b6d4 vs app cyan #0b8cab; emerald #047857 vs mint #0d9f70; pink #ec4899 vs #e2579a,"R-COL-1: one brand palette; marketing utilities consume the same underlying values (theme bridge), never independent hex",P1,Bridge @theme colors to var(--u-*) equivalents (or redefine both from one source); document the bridge in DESIGN-TOKENS.md.,confirmed
VIS-02,all primary app routes,390-1440,visual consistency,design-system-inconsistency,"22+ accent-family colors are active (7 service jewel tones + 5 status tones + 3 brand steps + 7 marketing hues + 4 cover-art hues). Accent roles are not bound to screen positions, so cyan/green/purple/amber appear in different roles on different screens - each screen can read as having its own theme.","foundations.css service blocks (371-388), status tints (108-120), cover art (122-131), marketing theme (37-50)",7 service colors + 5 status + 3 brand + 7 marketing + 4 cover = 26 accent-family values,"R-COL-2: accent roles are semantic and positional - primary (indigo) for interaction only, service hue for identity thread only (<=10% area), status tones for status only; an accent color may never change meaning between screens",P1,Publish the semantic color role table (DESIGN-TOKENS.md) with allowed positions; audit usages against it; forbid ad-hoc accent assignment.,confirmed
VIS-03,chat / code / analyze / explore,390-1440,visual consistency,subjective-refinement,"The focus-canvas system (--fc-* tokens: separate glass, line, raise, ink, accent sets) introduces a third surface language used by 4 of 19 routes. It is well-built but unaccounted for in the public token model, so the app has three surface stories (standard light/dark, focus canvas, marketing dark).",shell.css:486-523 (focus canvas token blocks),--fc-* defines 15 parallel tokens overriding shell chrome on 4 routes,"R-SURF-4: at most two declared canvases app-wide (standard, focus); each is a named, documented token set - no undeclared third surface language",P3,Either fold --fc-* into the standard surface scale or formally declare the focus canvas as the second canvas in DESIGN-TOKENS.md with its own contract.,confirmed
SUR-01,"learn, research, create, code, analyze, explore, home",390-1440,components,design-system-inconsistency,"Surface inflation, measured: on domain workspaces nearly every card is nested inside another card - learn 14/15, research 13/14, create 10/11, code 11/12, analyze 8/9, explore 8/9; home nests 8/20 including depth-3 (card-in-card-in-card). The anti-nesting law exists in layout.css but dialect classes bypass mj-surface.",evidence/measurements aggregate.json -> nestingDepthHistogram @390; layout.css:346-362 (anti-nesting law); VLM perceptual (home390scrolled: 'input nested in larger container that serves no clear purpose'),"nested card ratios at 390: learn 93%, research 93%, create 91%, code 92%, analyze 89%, explore 89%, home 40% (max depth 3)","R-SURF-1: a surface never contains another surface of equal or higher level; grouping inside a surface = stack + spacing, or a --flat inline group",P0,Refactor the u2-workbench and service-space interiors onto mj-surface--flat groups; cap the tree at surface > flat-group > controls.,confirmed
SUR-02,all primary app routes,390,components,design-system-inconsistency,"Radius is not tied to hierarchy: five radius values are live at 390px (12px x89, 16px x72, pill x23, 22px x14, 24px x2) and the CSS declares 23 distinct radius values. Controls, cards, overlays and navigation pick radii per component.",evidence/measurements aggregate.json -> radiusHistogram @390; css-analysis (23 declared values incl. asymmetric 7px 7px 2px 7px),5 live radius values at 390; 23 declared globally; asymmetric quirks present,R-SURF-2: radius maps to surface level - 8px controls / 12px inputs / 16px cards / 22px overlays / pill for chips; nothing else,P1,Bind radii to the level map (DESIGN-TOKENS.md); replace the asymmetric quirks; lint guard.,confirmed
SUR-03,all primary app routes,390-1440,components,design-system-inconsistency,"Elevation is unregulated: 71 distinct box-shadow values across the layers versus the 5-step --u-shadow scale. Shadows are composed ad hoc per component, producing uneven depth.",css-analysis (distinct_shadow_values: 71),71 distinct shadow declarations vs 5-step elevation scale,R-SURF-3: shadows only via --u-shadow-xs..xl tokens; one elevation step per surface level,P1,Replace raw shadows with elevation tokens; delete composite one-off shadows.,confirmed
GRD-01,all primary app routes,768-1440,grid,design-system-inconsistency,"Container-measure fragmentation: 11 content widths are active (480/560/640/720/840/880/900/1040/1080/1240/1520) across 6 container-query ladders, while the IA documents a 5-step ladder. Reading measure and grid widths differ per family.",responsive.css canonical ladders; IA section 5; ops-page max-width 1240; --mj-content-max 1520; universal-container 1240,11 distinct container widths in active use,R-GRD-1: 4-step measure ladder - narrow 560 / prose 780 / wide 1040 / full 1440; every page section declares one,P2,Collapse the ladder to four measures; map each existing width to the nearest step; document in RESPONSIVE-ARCHITECTURE.md.,confirmed
RES-01,all primary app routes,980 (desktop-mode on phone),responsive behavior,confirmed-bug,Requesting the desktop site on a phone renders the tablet rail composition at unreadable physical sizes: at 980 CSS px the shell enters rail mode (76px icon sidebar); a nav link at 15.36px CSS becomes ~6.5px effective on a 414px-wide phone (scale 0.422). Desktop mode must not mean 'shrunken desktop UI'.,"evidence/desktopmode-home/980.json (sidebarMode=rail, scaleFactorOnPhone 0.422, effectiveNav 6.5px); screenshots desktopmode-home/980-viewport.jpg",effective nav text 6.5px; effective h1 24.5px; body text ~6px effective at phone scale,R-RES-1: wide-viewport + coarse pointer (pointer: coarse) serves the touch composition (drawer + tab bar + >=14px effective text); the rail/sidebar composition requires a fine pointer or >=1024px viewport,P1,Add a pointer-media guard to the viewport-mode hook: (pointer: coarse) forces the mobile shell regardless of width; document in RESPONSIVE-ARCHITECTURE.md.,confirmed
RES-02,all primary app routes,768,responsive behavior,design-system-inconsistency,Tablet (768-1023) defaults to a 76px icon rail with all labels hidden; expanding overlays content instead of pushing it. Icon-only rail on a touch-first tablet reduces discoverability of 19 destinations and differs from the desktop push behavior.,shell.css tablet section; app-shell.tsx sidebar state machine,rail 76px labels hidden at 768-1023; overlay mode vs desktop push mode,"R-RES-2: tablet composition = expanded labeled sidebar by default at >=768 (push, not overlay) OR documented owner decision for rail; one behavior across the band",P2,Owner decision: labeled tablet sidebar (recommended) vs rail; then normalize overlay/push behavior accordingly.,confirmed
INT-01,chat (اسأل gateway),390,interaction,ux-problem,"Configuration precedes action on the shared gateway: 9 sections (contextual nav, welcome, toolbelt, mode cards, composer, four-step path, trust note, starters, mini-library) render before the first execution; 18 card-like surfaces compete. The guided/quick switch adds progressive disclosure, but the initial view still stacks every concern.",docs/02-experience/page-specs.md C-0 (9 sections); evidence/measurements chat/390.json (18 card-like); VLM perceptual chat390 ('too airy between headline and input list... card-in-card active state'),9 pre-execution sections; 18 card-like containers at 390,"R-PAT-2: creation flows are composer-first - prompt + primary action above the fold; configuration reveals progressively (mode, tools, advanced)",P1,Reorder the gateway: composer + primary CTA first; collapse toolbelt/path/trust/starters behind progressive disclosure; see PAGE-PATTERNS-AND-MOTION.md creation-flow template.,confirmed
INT-02,all primary app routes,390-1440,interaction,subjective-refinement,Route transitions run at 480ms ('expressive' token) with a 10px enter offset on every navigation - slow for wayfinding; platform norms sit at 200-300ms for route changes.,"shell.css:262 .universal-route-frame (minsaj-route-in, duration-expressive)",route transition 480ms ease-enter on all navigations,"R-MOT-1: route transitions 240ms; expressive (480ms) reserved for milestone moments, not wayfinding",P3,Retokenize route-in to 240ms; keep expressive for first-visit hero reveals only.,confirmed
INT-03,all primary app routes,390-1440,interaction,design-system-inconsistency,Two alert-red systems: the notification dot uses --u-shell-alert (pink #e75f9d) on standard chrome but #EF4444 on focus-canvas chrome.,shell.css:249 vs :575,alert dot #e75f9d vs #EF4444,R-COL-3: one attention token --u-alert used by every chrome variant,P3,Bind both to a single alert token.,confirmed
ACC-01,all primary app routes,390-1440,accessibility,confirmed (gate holds),"Accessibility engineering gates hold: every measured tap target >=44px (0 under 32px across routes), zero horizontal overflow at all five viewports, skip-link present, aria-current on active nav, focus-visible defined. This audit adds gates on top, it does not contradict this pass.",evidence/measurements aggregate.json -> tapTargets per route; hOverflow=false x100 captures,min target 44px; overflow 0/100 captures,keep as invariant gate (VISUAL-QA-CHECKLIST.md section A),-,"Maintain; extend QA with reflow, target-size and heading-order checks at all five viewports.",confirmed
ACC-02,all primary app routes,390-1440,accessibility,design-system-inconsistency,Focus treatment is inconsistent: global :focus-visible outline 2.5px vs app-shell override 3px glow; kbd hint at 11px mono sits below the caption floor.,foundations.css:415 vs :470; shell.css kbd rule,outline-width 2.5px vs 3px; kbd 11px,"R-ACC-1: one focus token (3px ring, offset 3px, both themes) and kbd >=11px mono with 10px floor",P3,Unify focus tokens; raise kbd to token size.,confirmed
IMP-01,all primary app routes,n/a (codebase),implementation,design-system-inconsistency,"Seven coexisting component dialects: universal-shell-* (chrome), mj-* primitives (v20), u2-* workbench (262 classes / 616 selectors), service-* gateway, adaptive-* home, ops/settings/library classes in globals.css (480 classes / 1220 selectors), ms-* + Tailwind marketing. The v20 primitives cover a fraction of the rendered UI; the rest predates or bypasses them. This is the mechanical root of the 'assembled UI kit' perception.",scripts/css-analysis per-layer census; workbench.css 616 selectors; globals.css 1220 selectors,7 dialects; 568 unique classes in universal layers + 480 in globals; workbench alone = 262 classes,"R-IMP-1: one primitive layer (mj-*) consumed by all surfaces; dialect classes are migration targets, not additions",P0,Execute the consolidation plan in COMPONENT-INVENTORY.md (migration table per dialect).,confirmed
IMP-02,all primary app routes,n/a (codebase),implementation,design-system-inconsistency,"No automated enforcement: the token laws (anti-nesting, spacing scale, radius map, Arabic zero-tracking, min font size) exist as CSS comments and prose only. Deviations accumulate silently between reviews.",eslint.config.mjs (no style rules); absence of stylelint; laws in layout.css comments + design-system.md,0 lint rules guarding visual tokens,"R-IMP-2: lint/build gates for token usage - raw spacing, raw radius, raw shadows, tracking without Arabic override, sub-10px text, nested surfaces",P1,Add stylelint + custom checks (see VISUAL-QA-CHECKLIST.md gate G-7); wire into the pre-push gate.,confirmed
IMP-03,all primary app routes,n/a (codebase),implementation,design-system-inconsistency,"globals.css is an unlayered parallel system: 1985 lines / 1220 selectors outside the 14-layer architecture, carrying its own button system, page anatomy, and admin surfaces - including the divergent settings skin.",wc + css-analysis on src/app/globals.css,1985 lines; 1220 selectors; 480 classes; own .button--* system,R-IMP-3: every selector lives in a declared layer; globals.css contains only resets/edge cases after migration,P1,Port globals.css content into the layer files (shell/layout/states/ops) with token-compliant values; track in COMPONENT-INVENTORY.md.,confirmed
UNC-01,knowledge,390/430/768/1024/1440,visual consistency,unconfirmed-pending-owner,"Owner report: 'large empty/gray area inside the statistics card' on the knowledge screen. Current DOM shows the stats block filled (dl.ops-stats h=196px at 430, 4 stats in a 2x2 grid; a dead-space scan of every main element >120px tall with <40 chars found zero candidates). The empty area may belong to a transient state, another viewport/theme, or a since-changed build. Kept open per audit protocol - never deleted, never promoted.",evidence/knowledge-targeted.json; screenshots/knowledge/390-full.jpg,"ops-stats: height 196px, 4 children, no dead-space candidates detected in current state","R-PAT-3: every reserved area is either a declared skeleton, a declared empty state with guidance, or removed; no unexplained voids",P2,"Owner to confirm reproduction context (viewport/theme/state); if it was a loading state, bind skeletons to the stats card (states.css already provides them).",confirmed
UNC-02,all primary app routes,390,navigation,unconfirmed-pending-owner,Owner report: 'page content/text appears behind or under the header during scrolling and route transitions'. Measured: content does scroll beneath the translucent header by design (glass 0.78 + blur); anchor scroll-margins are correct; the route-enter animation starts 10px below rest. No hard clipping reproduced in 100 captures. Perception may be the transparency + enter-offset combination.,screenshots/home/390-scrolled600.jpg; shell.css route-in keyframes; chrome.topbar.background,no clipping found; glass alpha 0.78; enter offset 10px/480ms,R-NAV-7 (same as NAV-07),P3,"Bundle with the NAV-07 owner decision; if confirmed as disturbing, raise chrome opacity to 0.95 and reduce enter offset to 4px/240ms.",confirmed
UNC-03,all primary app routes,390,navigation,unconfirmed-pending-owner,Owner report: 'content approaches or appears cut behind the bottom navigation'. Measured: content bottom padding includes the tab-bar reserve (--mj-tabbar-reserve = 80px + safe-area; 112px on focus routes) on every route; no element renders beneath the bar in captures. Perception may come from the bar's shadow/glass weight.,shell.css --mj-tabbar-reserve rules; evidence/measurements geom.content.paddingBottom,reserve honored on all routes; 0 overlap findings,R-NAV-4 weight sub-rule: the dock's visual weight (shadow+glass+pill) is capped,P3,Owner decision on dock weight; options in NAVIGATION-ARCHITECTURE.md section 5.,confirmed
